Te_eV,k_exc_m3_s,mean_energy_eV,E_over_N_Td
7.56226667e-01,3.30764000e-16,1.13434000e+00,5.62341000e+01
7.92533333e-01,3.93060000e-16,1.18880000e+00,6.49382000e+01
8.31193333e-01,4.63671000e-16,1.24679000e+00,7.49894000e+01
8.73153333e-01,5.44893000e-16,1.30973000e+00,8.65964000e+01
9.19266667e-01,6.39525000e-16,1.37890000e+00,1.00000000e+02
9.70226667e-01,7.50804000e-16,1.45534000e+00,1.15478000e+02
1.02661333e+00,8.82430000e-16,1.53992000e+00,1.33352000e+02
1.08891333e+00,1.03853000e-15,1.63337000e+00,1.53993000e+02
1.15748667e+00,1.22363000e-15,1.73623000e+00,1.77828000e+02
1.23258667e+00,1.44254000e-15,1.84888000e+00,2.05353000e+02
1.31428667e+00,1.70021000e-15,1.97143000e+00,2.37137000e+02
1.40248000e+00,2.00147000e-15,2.10372000e+00,2.73842000e+02
1.49682000e+00,2.35074000e-15,2.24523000e+00,3.16228000e+02
1.59671333e+00,2.75188000e-15,2.39507000e+00,3.65174000e+02
1.70133333e+00,3.20803000e-15,2.55200000e+00,4.21697000e+02
1.80974667e+00,3.72174000e-15,2.71462000e+00,4.86968000e+02
1.92102000e+00,4.29548000e-15,2.88153000e+00,5.62341000e+02
2.03440000e+00,4.93229000e-15,3.05160000e+00,6.49382000e+02
2.14946667e+00,5.63643000e-15,3.22420000e+00,7.49894000e+02
2.26624667e+00,6.41423000e-15,3.39937000e+00,8.65965000e+02
2.38530000e+00,7.27441000e-15,3.57795000e+00,1.00000000e+03
2.50785333e+00,8.22905000e-15,3.76178000e+00,1.15478000e+03
2.63577333e+00,9.29277000e-15,3.95366000e+00,1.33352000e+03
2.77175333e+00,1.04826000e-14,4.15763000e+00,1.53993000e+03
2.91927333e+00,1.18143000e-14,4.37891000e+00,1.77828000e+03
3.08352667e+00,1.33045000e-14,4.62529000e+00,2.05353000e+03
3.27186667e+00,1.49645000e-14,4.90780000e+00,2.37137000e+03
3.49506667e+00,1.67931000e-14,5.24260000e+00,2.73842000e+03
3.77020000e+00,1.87688000e-14,5.65530000e+00,3.16228000e+03
4.12602000e+00,2.08340000e-14,6.18903000e+00,3.65174000e+03
4.61917333e+00,2.28856000e-14,6.92876000e+00,4.21697000e+03
5.38362667e+00,2.47482000e-14,8.07544000e+00,4.86968000e+03
6.80313333e+00,2.61122000e-14,1.02047000e+01,5.62341000e+03
9.97666667e+00,2.64712000e-14,1.49650000e+01,6.49381000e+03
1.68116000e+01,2.53463000e-14,2.52174000e+01,7.49894000e+03
2.87191333e+01,2.28663000e-14,4.30787000e+01,8.65964000e+03
4.68933333e+01,1.96005000e-14,7.03400000e+01,1.00000000e+04
